dwarf,FM/Msols^3km^-3kpc^-3,2sl,1sl,1su,2su
CVnI,2174.803272838038,19.16301158158624,176.57834291282427,27072.436443058086,210418.57614165422
LeoII,5639.810392284446,294.68984674888657,1124.8459821862302,26767.456991895382,113779.50622502754
And21,450.0692233953763,6.84668109293539,40.87095621945281,4505.334888889605,30893.716679111094
Carina,125.38109030172828,1.962785030882664,12.279218730749859,2410.6277396654264,32225.161113833212
LeoI,718.9274466540935,38.2042478444087,146.20287336185322,4466.134350524795,25202.617596569213
Fornax,10.741774437155307,1.7595900295205777,3.76261329100102,47.07084603601426,264.230145428525
SegI,106508.50045584737,0.6733082329422992,588.6182273244391,1766675.829236991,12492671.481013171
Draco,212.6992850343836,15.101486693942205,61.411992734191614,818.186018195188,3122.707205769127
Sculptor,118.8011758724447,12.272827171756274,32.04807920458908,477.48491105049635,1602.3982211633033
UMi,231.10190041316864,17.496038786245293,51.617955787077385,1098.3020969216586,4740.756822009127
Sextans,1578.8478653801549,42.07275639987333,228.00100791170541,12308.02573206683,96502.24112583163
