dwarf,mFD/keV,2sl,1sl,1su,2su
CVnI,4.927685722847259,0.978045309426061,1.9556471711105166,9.151095732165414,10.444640328464207
LeoII,5.024629551566872,1.7364763104361236,2.8031675661147513,8.003588482025203,9.732966738157554
And21,1.960265340235419,0.6546958200565696,1.191526559030667,2.3187683620584414,2.5768243247890865
Carina,2.947617411930241,0.2374406660719594,1.4095150313787552,5.961689226857101,9.33850708267613
LeoI,2.982816907143334,0.9039068837076458,1.6024255548821762,5.936562137246045,8.693021199289772
Fornax,0.7001074570581128,0.18131398264421755,0.4122815700602338,1.3171651496705283,2.883887354056647
SegI,12.649660473833011,0.07820115752043244,6.557206742991052,20.996660503602122,32.467241814298
Draco,2.2057499920616297,0.6619210300755001,1.3559405996575709,3.565364639118748,5.60197853712262
Sculptor,1.5561165114638915,0.49255053158137535,0.9656911900715246,2.5303876443159568,4.23944637908729
UMi,1.8920726099568312,0.6154169512435621,1.15015691948313,3.264838260813183,5.610995200584359
Sextans,3.665382921789466,1.012857451462991,1.785252223321719,7.304444275644524,9.780457794970559
