dwarf,mFD/keV,2sl,1sl,1su,2su
CVnI,0.9043188975686632,0.26891101137575635,0.4521757142003405,1.438613658034865,1.5885813954961314
LeoII,0.9176295517465101,0.4136099733407733,0.5923469406997659,1.3010767556335054,1.5066878445420324
Carina,0.6150956987662635,0.09300486818197873,0.35370535818532967,1.0431970614928605,1.4606543099675688
LeoI,0.6205964717830503,0.253473245412431,0.3894240345361619,1.0398977021226345,1.3842591700341553
Fornax,0.20927284707163113,0.0759736214063264,0.14068078923411487,0.33617818541327515,0.6050943177362625
SegI,1.833996518059597,0.04043423596768586,1.1204139635833323,2.681958323124457,3.7189762240321893
Draco,0.4948875973911306,0.20065222951360712,0.34357365386585575,0.7094426926921329,0.9956241802594878
Sculptor,0.3809525967868952,0.1607597970415136,0.26635941793814566,0.548566962786486,0.8078323024246881
UMi,0.44110573499472544,0.18998374571282967,0.30367369759280904,0.6641032546235978,0.996825818639642
Sextans,0.7243173181504761,0.2760581674927669,0.42229315514151267,1.21486981150352,1.5121982900508406
